"id","artist_profile_id","genre_id","album_id","title","duration","file_path","file_mime","file_size","cover_image","released_date","publish_at","is_vip","status","listens","deleted","created_at","updated_at"
"1","1","1","1","Build a btch","216","songs/custom/A01_Build_a_btch.mp3","audio/mpeg","2720121","covers/songs/custom/A01_Build_a_btch.jpg","2026-04-18","2026-04-18 01:19:01","0","published","16459","0","2026-04-18 01:19:02","2026-04-18 01:19:22"
"2","1","1","1","baby one more time","201","songs/custom/A02_baby_one_more_time.mp3","audio/mpeg","3793858","covers/songs/custom/A02_baby_one_more_time.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4639","0","2026-04-18 01:19:02","2026-04-18 01:19:22"
"3","1","1","1","shape of you","186","songs/custom/A03_shape_of_you.mp3","audio/mpeg","4213489","covers/songs/custom/A03_shape_of_you.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4651","0","2026-04-18 01:19:02","2026-04-18 01:19:22"
"4","1","1","1","Je T'aime","180","songs/custom/A04_Je_T'aime.mp3","audio/mpeg","4710443","covers/songs/custom/A04_Je_T'aime.jpg","2026-04-18","2026-04-18 01:19:01","0","published","17359","0","2026-04-18 01:19:02","2026-04-18 01:19:22"
"5","1","1","1","Dark Horse","228","songs/custom/A05_Dark_Horse.mp3","audio/mpeg","3602015","covers/songs/custom/A05_Dark_Horse.jpg","2026-04-18","2026-04-18 01:19:01","0","published","16874","0","2026-04-18 01:19:02","2026-04-18 01:19:22"
"6","1","1","1","Bad Romance","218","songs/custom/A06_Bad_Romance.mp3","audio/mpeg","4936141","covers/songs/custom/A06_Bad_Romance.jpg","2026-04-18","2026-04-18 01:19:01","0","published","16473","0","2026-04-18 01:19:03","2026-04-18 01:19:22"
"7","1","1","1","Poker Face","196","songs/custom/A07_Poker_Face.mp3","audio/mpeg","3419785","covers/songs/custom/A07_Poker_Face.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4463","0","2026-04-18 01:19:03","2026-04-18 01:19:22"
"8","1","1","1","Die With A Smile","205","songs/custom/A08_Die_With_A_Smile.mp3","audio/mpeg","4038782","covers/songs/custom/A08_Die_With_A_Smile.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4376","0","2026-04-18 01:19:03","2026-04-18 01:19:22"
"9","1","1","1","Despacito","185","songs/custom/A09_Despacito.mp3","audio/mpeg","4506061","covers/songs/custom/A09_Despacito.jpg","2026-04-18","2026-04-18 01:19:01","0","published","16707","0","2026-04-18 01:19:03","2026-04-18 01:19:22"
"10","1","1","1","4 Minutes","218","songs/custom/A10_4_Minutes.mp3","audio/mpeg","3928023","covers/songs/custom/A10_4_Minutes.jpg","2026-04-18","2026-04-18 01:19:01","0","published","15588","0","2026-04-18 01:19:03","2026-04-18 01:19:22"
"11","1","1","1","Waiting For You","181","songs/custom/A11_Waiting_For_You.mp3","audio/mpeg","4245254","covers/songs/custom/A11_Waiting_For_You.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4470","0","2026-04-18 01:19:03","2026-04-18 01:19:22"
"12","1","1","1","Until I Found You","214","songs/custom/A12_Until_I_Found_You.mp3","audio/mpeg","2816670","covers/songs/custom/A12_Until_I_Found_You.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4302","0","2026-04-18 01:19:04","2026-04-18 01:19:22"
"13","1","1","1","On The Floor","213","songs/custom/A13_On_The_Floor.mp3","audio/mpeg","4264062","covers/songs/custom/A13_On_The_Floor.jpg","2026-04-18","2026-04-18 01:19:01","0","published","4611","0","2026-04-18 01:19:04","2026-04-18 01:19:22"
"14","1","1","1","Havana","213","songs/custom/A14_Havana .mp3","audio/mpeg","3498361","covers/songs/custom/A14_Havana .jpg","2026-04-18","2026-04-18 01:19:01","0","published","4359","0","2026-04-18 01:19:04","2026-04-18 01:19:22"
"15","2","1",NULL,"Một thời đã xa","300","songs/custom/001_mot_thoi_da_xa.mp3",,"0","covers/songs/custom/001_mot_thoi_da_xa.jpg","2000-01-01",NULL,"0","published","4638","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
"16","2","1",NULL,"Tình xa khuất","354","songs/custom/002_tinh_xa_khuat.mp3","audio/mpeg","5677600","covers/songs/custom/002_tinh_xa_khuat.jpg","1998-05-20",NULL,"0","published","4207","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
"17","2","2",NULL,"Trống vắng","321","songs/custom/003_trong_vang.mp3","audio/mpeg","5139269","covers/songs/custom/003_trong_vang.jpg","1997-10-10",NULL,"0","published","4357","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
"18","2","1",NULL,"Lang thang","357","songs/custom/004_lang_thang.mp3","audio/mpeg","5726083","covers/songs/custom/004_lang_thang.jpg","1997-12-01",NULL,"0","published","4601","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
"19","2","1",NULL,"Tình cờ","213","songs/custom/005_tinh_co.mp3","audio/mpeg","3417695","covers/songs/custom/005_tinh_co.jpg","1999-03-15",NULL,"1","published","4070","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
"20","2","1",NULL,"Tình 2000","342","songs/custom/006_tinh_2000.mp3","audio/mpeg","5488265","covers/songs/custom/006_tinh_2000.jpg","2000-01-01",NULL,"0","published","16846","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
"21","2","3",NULL,"Chia tay trong mưa","278","songs/custom/007_chia_tay_trong_mua.mp3","audio/mpeg","4457577","covers/songs/custom/007_chia_tay_trong_mua.jpg","1998-08-20",NULL,"0","published","4121","0","2026-04-18 01:19:18","2026-04-18 01:19:22"
