"song_id","tag_id"
"15","1"
"15","2"
"15","3"
"15","4"
"16","1"
"16","5"
"16","6"
"16","7"
"17","2"
"17","4"
"17","8"
"17","9"
"18","1"
"18","10"
"18","11"
"18","12"
"19","5"
"19","13"
"19","14"
"19","15"
"20","8"
"20","13"
"20","16"
"20","17"
"21","1"
"21","2"
"21","3"
"21","7"
"22","4"
"22","5"
"22","10"
"22","14"
"23","1"
"23","2"
"23","3"
"23","4"
"24","5"
"24","6"
"24","13"
"24","15"
"25","1"
"25","2"
"25","3"
"25","7"
"26","1"
"26","2"
"26","6"
"26","7"
"27","1"
"27","7"
"27","18"
"27","19"
"28","1"
"28","3"
"28","4"
"28","5"
"29","1"
"29","2"
"29","9"
"29","15"
"30","1"
"30","5"
"30","7"
"30","14"
"31","1"
"31","2"
"31","3"
"31","7"
"32","1"
"32","2"
"32","6"
"32","7"
"33","1"
"33","9"
"33","15"
"33","18"
"34","8"
"34","12"
"34","13"
"34","16"
"35","9"
"35","13"
"35","18"
"35","20"
"36","5"
"36","13"
"36","14"
"36","15"
"37","5"
"37","6"
"37","10"
"37","15"
"38","1"
"38","2"
"38","3"
"38","7"
"39","1"
"39","5"
"39","7"
"39","14"
"40","1"
"40","2"
"40","3"
"40","7"
"41","1"
"41","6"
"41","7"
"41","10"
"42","1"
"42","2"
"42","3"
"42","7"
"43","1"
"43","5"
"43","14"
"43","15"
"44","1"
"44","2"
"44","6"
"44","15"
"45","1"
"45","2"
"45","3"
"45","7"
"46","1"
"46","2"
"46","3"
"46","7"
"47","1"
"47","2"
"47","7"
"47","14"
"48","7"
"48","10"
"48","13"
"48","16"
"49","8"
"49","11"
"49","13"
"49","15"
"50","4"
"50","5"
"50","9"
"50","10"
"51","10"
"51","13"
"51","14"
"51","17"
"52","1"
"52","2"
"52","3"
"52","7"
"53","1"
"53","5"
"53","6"
"53","7"
"54","1"
"54","3"
"54","5"
"54","15"
"55","1"
"55","2"
"55","6"
"55","15"
"56","1"
"56","4"
"56","5"
"56","9"
"57","10"
"57","12"
"57","13"
"57","21"
"58","10"
"58","12"
"58","18"
"58","21"
"59","10"
"59","12"
"59","18"
"59","21"
"60","5"
"60","10"
"60","21"
"60","22"
"61","10"
"61","12"
"61","21"
"62","6"
"62","10"
"62","13"
"62","22"
"63","1"
"63","2"
"63","4"
"63","14"
"64","3"
"64","5"
"64","10"
"64","22"
"65","2"
"65","3"
"65","10"
"65","12"
"66","8"
"66","11"
"66","12"
"66","13"
"67","10"
"67","12"
"67","13"
"67","21"
"68","9"
"68","13"
"68","17"
"68","18"
"69","1"
"69","2"
"69","6"
"69","20"
"70","2"
"70","6"
"70","12"
"70","18"
"71","10"
"71","12"
"71","13"
"71","14"
"72","5"
"72","13"
"72","16"
"72","17"
"73","1"
"73","2"
"73","10"
"73","12"
"74","2"
"74","6"
"74","13"
"74","22"
"75","1"
"75","5"
"75","10"
"75","22"
"76","1"
"76","2"
"76","10"
"76","22"
"77","1"
"77","2"
"77","6"
"77","22"
"78","1"
"78","2"
"78","10"
"78","22"
"79","1"
"79","2"
"79","7"
"79","14"
"80","5"
"80","10"
"80","22"
"81","8"
"81","11"
"81","12"
"81","13"
"82","1"
"82","2"
"82","4"
"82","6"
"83","5"
"83","13"
"83","15"
"83","16"
"84","5"
"84","9"
"84","13"
"84","15"
"85","13"
"85","16"
"85","18"
"85","20"
"86","13"
"86","16"
"86","18"
"86","20"
"87","8"
"87","12"
"87","13"
"87","16"
"88","13"
"88","16"
"88","18"
"88","20"
"89","13"
"89","16"
"89","18"
"89","20"
"90","13"
"90","16"
"90","18"
"90","20"
"91","8"
"91","13"
"91","16"
"91","20"
"92","8"
"92","13"
"92","15"
"92","16"
"93","8"
"93","13"
"93","15"
"93","16"
"94","8"
"94","13"
"94","15"
"94","16"
"95","6"
"95","10"
"95","13"
"95","17"
"96","8"
"96","13"
"96","17"
"96","19"
"97","8"
"97","13"
"97","15"
"97","16"
"98","12"
"98","13"
"98","16"
"98","18"
"99","8"
"99","13"
"99","15"
"99","19"
"100","7"
"100","8"
"100","13"
"100","16"
"101","6"
"101","8"
"101","12"
"101","13"
"102","13"
"102","16"
"102","17"
"102","18"
"103","1"
"103","2"
"103","6"
"103","15"
"104","5"
"104","13"
"104","14"
"104","15"
"105","8"
"105","13"
"105","16"
"105","17"
"106","8"
"106","13"
"106","15"
"106","19"
"107","2"
"107","9"
"107","18"
"107","22"
"108","9"
"108","10"
"108","13"
"108","22"
"109","6"
"109","10"
"109","12"
"109","18"
"110","1"
"110","4"
"110","10"
"110","14"
"111","6"
"111","10"
"111","13"
"111","17"
"112","10"
"112","11"
"112","13"
"112","17"
"113","6"
"113","10"
"113","12"
"113","13"
"114","5"
"114","13"
"114","14"
"114","17"
"115","8"
"115","13"
"115","19"
"115","20"
"116","8"
"116","13"
"116","16"
"116","20"
"117","8"
"117","13"
"117","15"
"117","16"
"118","1"
"118","2"
"118","6"
"118","7"
"119","8"
"119","13"
"119","15"
"119","16"
"120","8"
"120","13"
"120","15"
"120","19"
"121","5"
"121","9"
"121","13"
"121","20"
"122","10"
"122","13"
"122","14"
"122","15"
"123","9"
"123","13"
"123","18"
"123","20"
"124","10"
"124","13"
"124","20"
"124","21"
"125","1"
"125","10"
"125","20"
"126","5"
"126","9"
"126","13"
"126","20"
"127","1"
"127","2"
"127","3"
"127","4"
"128","2"
"128","6"
"128","18"
"128","20"
"129","1"
"129","2"
"129","3"
"129","7"
"130","1"
"130","5"
"130","10"
"130","15"
"131","4"
"131","5"
"131","9"
"131","13"
"132","5"
"132","10"
"132","14"
"132","20"
"133","1"
"133","5"
"133","10"
"133","15"
"134","5"
"134","13"
"134","15"
"134","16"
"135","2"
"135","4"
"135","10"
"135","23"
"136","10"
"136","11"
"136","12"
"136","13"
"137","9"
"137","13"
"137","17"
"137","18"
"138","5"
"138","10"
"138","14"
"138","15"
"139","11"
"139","13"
"139","17"
"139","18"
"140","6"
"140","10"
"140","12"
"140","13"
"141","8"
"141","12"
"141","13"
"141","19"
"142","2"
"142","4"
"142","6"
"142","10"
"143","8"
"143","9"
"143","12"
"143","18"
"144","10"
"144","12"
"144","13"
"144","14"
"145","8"
"145","13"
"145","16"
"145","20"
"146","8"
"146","12"
"146","13"
"146","16"
"147","8"
"147","12"
"147","18"
"147","19"
"148","8"
"148","9"
"148","18"
"148","20"
"149","8"
"149","11"
"149","13"
"149","20"
"150","5"
"150","8"
"150","15"
"150","19"
"151","8"
"151","13"
"151","16"
"151","17"
"152","6"
"152","8"
"152","18"
"152","20"
"153","2"
"153","12"
"153","18"
"153","21"
"154","1"
"154","2"
"154","7"
"154","19"
"155","8"
"155","13"
"155","15"
"155","16"
"156","1"
"156","7"
"156","8"
"156","19"
"157","1"
"157","2"
"157","7"
"157","9"
"158","1"
"158","2"
"158","11"
"158","17"
"159","8"
"159","13"
"159","15"
"159","16"
"160","10"
"160","12"
"160","13"
"160","14"
"161","1"
"161","2"
