"id","user_id","followed_artist_profile_id","created_at","updated_at"
"1","68","1","2026-04-13 14:49:20","2026-04-13 14:49:20"
"2","82","1","2026-04-15 22:20:20","2026-04-15 22:20:20"
"3","67","1","2026-04-11 13:47:20","2026-04-11 13:47:20"
"4","88","1","2026-04-15 08:49:20","2026-04-15 08:49:20"
"5","80","1","2026-04-16 16:55:20","2026-04-16 16:55:20"
"6","79","1","2026-04-13 01:19:20","2026-04-13 01:19:20"
"7","86","1","2026-04-15 14:02:20","2026-04-15 14:02:20"
"8","73","1","2026-04-17 15:11:20","2026-04-17 15:11:20"
"9","3","1","2026-04-15 16:50:20","2026-04-15 16:50:20"
"10","71","1","2026-04-15 11:42:20","2026-04-15 11:42:20"
"11","81","1","2026-04-14 17:11:20","2026-04-14 17:11:20"
"12","85","1","2026-04-16 12:00:20","2026-04-16 12:00:20"
"13","64","1","2026-04-14 06:14:20","2026-04-14 06:14:20"
"14","76","1","2026-04-11 12:42:20","2026-04-11 12:42:20"
"15","89","1","2026-04-17 09:43:20","2026-04-17 09:43:20"
"16","2","1","2026-04-18 00:36:20","2026-04-18 00:36:20"
"17","70","1","2026-02-20 16:39:20","2026-02-20 16:39:20"
"18","90","1","2026-03-03 09:38:20","2026-03-03 09:38:20"
"19","74","1","2026-03-12 00:18:20","2026-03-12 00:18:20"
"20","75","1","2026-03-31 01:51:20","2026-03-31 01:51:20"
"21","65","1","2026-03-30 08:06:20","2026-03-30 08:06:20"
"22","87","1","2026-02-25 04:51:20","2026-02-25 04:51:20"
"23","63","1","2026-03-17 03:18:20","2026-03-17 03:18:20"
"24","77","1","2026-03-21 11:01:20","2026-03-21 11:01:20"
"25","84","1","2026-03-05 07:15:20","2026-03-05 07:15:20"
"26","78","1","2026-04-07 14:14:20","2026-04-07 14:14:20"
"27","69","1","2026-02-25 10:16:20","2026-02-25 10:16:20"
"28","83","1","2026-04-05 00:23:20","2026-04-05 00:23:20"
"29","72","1","2026-03-02 05:08:20","2026-03-02 05:08:20"
"30","66","1","2026-03-02 15:49:20","2026-03-02 15:49:20"
